Button: CH- 	 Hex: BA 	 Inverse: 45
Button: CH 	 Hex: B9 	 Inverse: 46
Button: CH+ 	 Hex: B8 	 Inverse: 47
Button: left 	 Hex: BB 	 Inverse: 44
Button: right 	 Hex: BF 	 Inverse: 40
Button: play 	 Hex: BC 	 Inverse: 43
Button: minus 	 Hex: F8 	 Inverse: 07
Button: plus 	 Hex: EA 	 Inverse: 15
Button: EQ 	 Hex: F6 	 Inverse: 09
Button: zero 	 Hex: E9 	 Inverse: 16
Button: FOL- 	 Hex: E6 	 Inverse: 19
Button: FOL+ 	 Hex: F2 	 Inverse: 0D
Button: one 	 Hex: F3 	 Inverse: 0C
Button: two 	 Hex: E7 	 Inverse: 18
Button: three 	 Hex: A1 	 Inverse: 5E
Button: four 	 Hex: EE 	 Inverse: 11
Button: five 	 Hex: E3 	 Inverse: 1C
Button: six 	 Hex: A5 	 Inverse: 5A
Button: seven 	 Hex: BD 	 Inverse: 42
Button: eight 	 Hex: 5A 	 Inverse: A5
Button: nine 	 Hex: B5 	 Inverse: 4A
